income,expenses,total_savings,monthly_savings,membership_duration,loan_amount,duration,num_dependents,expected_return,guarantor_salary,collateral_value,collateral_type,collateral_type_score,has_guarantor,business_type,purpose,borrower_type,default_probability,defaulted
19408,11208,199258,5573,21,85418,6,3,215436,0,65833,property,1.0,0,Technology,Equipment Purchase,micro_entrepreneur,1.0,1
16706,8933,102043,1431,43,169427,23,0,221517,17276,192951,vehicle,0.8,1,Manufacturing,Working Capital,micro_entrepreneur,0.6175,0
7093,4155,72609,1291,26,143809,16,7,134201,3242,70268,livestock,0.4,1,Agriculture,Equipment Purchase,farmer,1.0,1
30379,12752,170831,9842,54,157569,19,2,192841,29139,135274,vehicle,0.8,1,Retail Trade,Education,civil_servant,0.3732,1
10353,5203,135803,7253,34,260514,4,6,385802,5336,241081,savings,0.7,1,Food & Beverage,Working Capital,small_trader,1.0,1
21859,8670,186952,10562,54,117573,33,2,215204,21458,224584,savings,0.7,1,Retail Trade,Vehicle Purchase,civil_servant,0.0758,0
31314,16740,155739,6548,56,247215,6,4,407115,20839,575934,property,1.0,1,Services,Working Capital,civil_servant,1.0,1
40573,18648,286493,5003,39,508803,38,3,1743633,32224,1218737,savings,0.7,1,Technology,Business Expansion,professional,0.475,0
4149,3037,3657,919,10,51911,5,4,42593,0,15185,other,0.2,0,Construction,Other,daily_laborer,1.0,1
16843,10374,12765,1993,10,121866,9,1,218554,7357,0,none,0.0,1,Construction,Business Expansion,construction,1.0,1
12346,6561,123231,3404,28,207803,8,2,498752,0,140781,equipment,0.5,0,Retail Trade,Working Capital,small_trader,1.0,1
13721,6840,17393,4885,32,179714,21,5,283172,3165,71838,equipment,0.5,1,Agriculture,Agricultural Input,farmer,1.0,1
9816,6456,33939,1556,16,124346,7,1,137456,5048,35408,other,0.2,1,Construction,Working Capital,construction,1.0,1
14547,7927,76661,3955,27,162801,29,1,317639,11206,135659,savings,0.7,1,Transport,Working Capital,transport_worker,0.6705,0
15161,9058,49025,4049,34,29492,28,4,53301,9555,31787,vehicle,0.8,1,Transport,Working Capital,transport_worker,0.1605,0
2410,2081,24113,1184,1,55019,3,5,67037,910,0,none,0.0,1,Services,Working Capital,daily_laborer,1.0,1
52370,18191,149478,16395,51,237215,45,3,474748,64443,560240,vehicle,0.8,1,Technology,Construction Project,professional,0.135,0
44618,14493,278171,3412,30,106132,29,1,277106,41291,200456,property,1.0,1,Technology,Construction Project,professional,0.0713,0
4357,3596,1479,304,15,66329,6,5,93201,0,0,none,0.0,0,Construction,Medical Emergency,daily_laborer,1.0,1
14732,7026,93534,4593,21,147732,13,5,178562,8057,30509,other,0.2,1,Agriculture,Agricultural Input,farmer,1.0,1
15202,10039,55171,3379,15,101210,12,2,91175,0,11126,other,0.2,0,Construction,Working Capital,construction,1.0,1
20649,11555,198776,7109,17,60160,25,3,197211,17732,102110,property,1.0,1,Manufacturing,Equipment Purchase,micro_entrepreneur,0.1075,1
24216,13032,253246,8503,39,158972,10,3,281793,0,356336,property,1.0,0,Services,Working Capital,civil_servant,1.0,1
7574,5284,28523,2680,31,55452,13,5,76381,3162,18196,other,0.2,1,Agriculture,Agricultural Input,farmer,1.0,1
19832,9433,102732,1939,34,55892,11,2,118634,21687,54291,savings,0.7,1,Food & Beverage,Business Expansion,small_trader,0.3245,0
2777,2410,11379,976,3,24585,11,7,35942,460,0,none,0.0,1,Construction,Working Capital,daily_laborer,1.0,1
11722,8745,58911,612,11,110695,15,5,122461,0,31814,other,0.2,0,Construction,Working Capital,construction,1.0,1
11082,5713,74159,955,14,163660,6,4,157891,0,53451,other,0.2,0,Construction,Business Expansion,construction,1.0,1
8614,5292,90031,2146,34,88999,16,6,172721,5579,63306,other,0.2,1,Agriculture,Equipment Purchase,farmer,1.0,1
6927,4789,96822,2690,35,99473,14,4,126763,0,71655,vehicle,0.8,0,Transport,Equipment Purchase,transport_worker,1.0,1
9629,5942,139704,3821,8,31029,15,3,32362,2986,20718,other,0.2,1,Wholesale,Business Expansion,small_trader,0.4732,0
5296,4244,21645,549,12,55045,9,7,37663,0,0,none,0.0,0,Other,Medical Emergency,daily_laborer,1.0,1
14201,8895,75857,4034,28,93812,19,5,171189,0,61066,other,0.2,0,Agriculture,Equipment Purchase,farmer,0.6537,1
11093,7179,65453,4562,33,231836,18,3,293429,0,99500,savings,0.7,0,Transport,Working Capital,transport_worker,1.0,1
6270,4345,24717,5006,12,100661,11,3,135700,0,66786,vehicle,0.8,0,Transport,Vehicle Purchase,transport_worker,1.0,1
13347,6372,141295,5675,10,39299,13,2,54271,0,25452,savings,0.7,0,Retail Trade,Working Capital,small_trader,0.5157,0
3950,2259,34885,1249,34,94357,9,3,107269,0,66979,equipment,0.5,0,Agriculture,Equipment Purchase,farmer,1.0,1
19034,11621,86012,3782,7,241516,8,2,438020,16877,139353,savings,0.7,1,Transport,Equipment Purchase,transport_worker,1.0,1
12755,8417,76385,3934,16,111570,12,3,199286,0,70356,equipment,0.5,0,Construction,Business Expansion,construction,1.0,1
17124,9362,52770,3061,22,134669,17,3,146105,6708,7894,other,0.2,1,Construction,Business Expansion,construction,1.0,1
12217,5829,191811,3383,45,198413,26,4,298712,15626,167236,vehicle,0.8,1,Other,Education,civil_servant,1.0,1
8971,4517,10706,1829,10,144887,15,2,117516,0,129457,other,0.2,0,Agriculture,Agricultural Input,farmer,1.0,1
9381,5610,16301,691,18,111691,9,4,222589,6915,0,none,0.0,1,Transport,Vehicle Purchase,transport_worker,1.0,1
5247,4452,18701,904,12,37266,6,4,45170,552,5822,other,0.2,1,Construction,Other,daily_laborer,1.0,1
14455,9069,72718,3661,14,127477,17,2,134753,9365,27538,other,0.2,1,Construction,Equipment Purchase,construction,1.0,1
11841,7108,67268,340,33,22595,12,4,18112,7716,5405,equipment,0.5,1,Agriculture,Agricultural Input,farmer,0.4625,1
15250,6214,207324,11669,40,58482,8,4,101473,16760,105092,vehicle,0.8,1,Retail Trade,Working Capital,civil_servant,0.4158,1
5102,3405,15335,2783,23,113414,6,4,143380,2240,54320,equipment,0.5,1,Construction,Equipment Purchase,construction,1.0,1
19559,11387,161356,5980,10,117919,17,3,170137,23692,174222,equipment,0.5,1,Manufacturing,Business Expansion,micro_entrepreneur,0.5962,0
22704,9573,85370,7375,22,252278,5,6,536629,0,185697,savings,0.7,0,Wholesale,Working Capital,small_trader,1.0,1
17433,7734,198743,5466,52,247357,14,3,531759,17103,400540,savings,0.7,1,Other,Education,civil_servant,1.0,1
21875,10526,106221,7723,36,157163,16,5,301503,10397,98569,other,0.2,1,Food & Beverage,Business Expansion,small_trader,0.6008,0
5212,4509,15225,1054,2,21970,6,5,32202,0,1065,other,0.2,0,Construction,Working Capital,daily_laborer,1.0,1
24070,12364,169905,8898,19,292621,10,2,713855,22176,430861,vehicle,0.8,1,Retail Trade,Equipment Purchase,micro_entrepreneur,1.0,1
48234,19094,254183,21731,46,74683,22,3,115446,60535,213650,savings,0.7,1,Services,Education,professional,0.0713,0
4407,3074,14105,1416,14,17550,10,8,13635,663,0,none,0.0,1,Services,Other,daily_laborer,1.0,1
21473,9113,86145,18281,30,149374,43,2,356527,23267,395945,savings,0.7,1,Technology,Construction Project,professional,0.135,0
5181,2912,81553,4007,46,179935,21,1,333565,0,253886,savings,0.7,0,Wholesale,Equipment Purchase,small_trader,1.0,1
2713,2044,8880,120,14,82262,4,3,53022,0,0,none,0.0,0,Other,Working Capital,daily_laborer,1.0,1
52472,16845,113461,24501,40,432327,30,0,1425278,58558,432464,property,1.0,1,Technology,Construction Project,professional,1.0,1
35886,16026,92222,23863,38,279806,36,0,758551,26762,291928,property,1.0,1,Other,Business Expansion,professional,1.0,1
52319,21356,287518,18500,53,756984,31,0,2798249,69406,1906095,property,1.0,1,Other,Education,professional,0.5387,0
5060,2406,63196,742,28,13897,10,7,23100,3504,0,none,0.0,1,Agriculture,Equipment Purchase,farmer,1.0,1
25667,10174,33882,9525,41,312051,7,4,722443,28865,407123,property,1.0,1,Other,Working Capital,civil_servant,1.0,1
10157,5268,12566,2319,22,72461,18,5,86908,0,57699,livestock,0.4,0,Agriculture,Equipment Purchase,farmer,1.0,1
30225,15952,177016,3646,24,139407,23,0,326892,24036,211040,vehicle,0.8,1,Other,Construction Project,civil_servant,0.3095,0
54821,24726,195461,23640,15,770926,20,0,1992473,59490,748599,vehicle,0.8,1,Services,Business Expansion,professional,1.0,1
23718,9942,197647,1980,53,390190,35,3,559593,12442,836187,vehicle,0.8,1,Other,Construction Project,civil_servant,0.5858,0
5786,4856,7583,1026,7,11626,4,7,16229,1019,0,none,0.0,1,Other,Medical Emergency,daily_laborer,1.0,1
10025,5302,13259,1347,11,91323,17,3,74381,5648,14323,other,0.2,1,Agriculture,Working Capital,farmer,1.0,1
12137,7660,66233,3072,11,30306,14,2,21760,0,8978,equipment,0.5,0,Construction,Business Expansion,construction,0.5975,1
17384,8396,244771,11235,23,177746,10,4,509882,23329,121908,property,1.0,1,Retail Trade,Vehicle Purchase,civil_servant,1.0,1
30971,10483,418533,10988,21,323813,19,2,1026721,24925,491395,savings,0.7,1,Services,Business Expansion,professional,1.0,1
28587,13838,87080,6458,38,318037,33,4,573206,21308,219112,equipment,0.5,1,Services,Equipment Purchase,micro_entrepreneur,1.0,1
6620,4302,15999,3070,9,52452,9,3,79490,6524,0,none,0.0,1,Transport,Equipment Purchase,transport_worker,1.0,1
8763,4492,63664,1639,29,313985,26,1,804393,0,597986,property,1.0,0,Technology,Business Expansion,micro_entrepreneur,1.0,1
17749,8322,353291,21683,18,73064,45,0,257487,21970,178225,savings,0.7,1,Services,Business Expansion,professional,0.0925,0
8832,4454,23853,1444,15,46928,9,3,56555,0,0,none,0.0,0,Construction,Working Capital,construction,1.0,1
6294,3392,179045,7035,47,45485,33,4,90575,0,44757,vehicle,0.8,0,Technology,Business Expansion,micro_entrepreneur,0.405,0
7505,4231,15571,5103,42,269433,12,3,300540,7798,266014,savings,0.7,1,Wholesale,Working Capital,small_trader,1.0,1
7605,5218,50771,2984,30,62294,7,6,85941,0,33726,equipment,0.5,0,Agriculture,Working Capital,farmer,1.0,1
5422,4138,8334,1234,1,70573,8,3,46994,0,9267,other,0.2,0,Other,Other,daily_laborer,1.0,1
5076,3553,74399,3535,10,75267,3,4,96973,3318,23712,other,0.2,1,Construction,Equipment Purchase,construction,1.0,1
10490,5834,21362,4055,37,212223,20,6,458353,3446,181000,savings,0.7,1,Food & Beverage,Equipment Purchase,small_trader,1.0,1
8775,4419,141015,4090,18,177341,5,4,328550,0,106590,savings,0.7,0,Food & Beverage,Working Capital,small_trader,1.0,1
6836,4639,26952,359,1,20043,4,5,19039,0,0,none,0.0,0,Other,Other,daily_laborer,1.0,1
9468,6353,111091,5461,34,213684,20,3,318749,0,0,none,0.0,0,Transport,Working Capital,transport_worker,1.0,1
7394,4129,17456,2440,30,167331,13,5,140621,0,68623,other,0.2,0,Agriculture,Equipment Purchase,farmer,1.0,1
21406,11569,103996,7469,32,250945,17,4,341977,25065,165592,other,0.2,1,Retail Trade,Equipment Purchase,small_trader,1.0,1
24034,11534,131533,7145,20,43312,18,2,94176,17706,21497,equipment,0.5,1,Wholesale,Business Expansion,small_trader,0.1758,0
48108,14581,445993,5217,18,600869,43,2,1335506,43710,1644851,property,1.0,1,Technology,Business Expansion,professional,0.3262,0
5079,2667,63728,7798,12,119163,11,3,238176,2534,141638,other,0.2,1,Food & Beverage,Working Capital,small_trader,1.0,1
12596,7031,51842,1548,27,162525,10,2,251697,5558,153421,other,0.2,1,Agriculture,Working Capital,farmer,1.0,1
6211,4509,22297,1378,20,99816,3,3,79153,0,64660,other,0.2,0,Construction,Equipment Purchase,construction,1.0,1
11709,7192,74568,1970,30,18494,19,3,25377,0,4772,equipment,0.5,0,Agriculture,Working Capital,farmer,0.3137,0
14483,6736,47109,1175,20,167733,23,5,205420,0,0,none,0.0,0,Agriculture,Equipment Purchase,farmer,1.0,1
8784,4839,95002,8350,15,91642,25,5,214335,11413,77841,vehicle,0.8,1,Services,Business Expansion,micro_entrepreneur,0.5112,1
24833,13291,147878,7560,25,75577,6,2,156081,15080,63186,equipment,0.5,1,Wholesale,Equipment Purchase,small_trader,1.0,1
9993,7101,65412,3004,12,74928,12,6,125291,4138,10080,equipment,0.5,1,Construction,Business Expansion,construction,1.0,1
8237,3763,35646,2684,28,300969,13,5,1023534,0,267608,vehicle,0.8,0,Services,Working Capital,micro_entrepreneur,1.0,1
46890,17332,95600,11506,54,785400,26,3,2178806,30048,1780635,property,1.0,1,Other,Vehicle Purchase,professional,1.0,1
5317,3280,13879,2686,10,89106,20,7,105283,2694,0,none,0.0,1,Agriculture,Equipment Purchase,farmer,1.0,1
12061,6776,132325,7952,20,265668,31,2,544027,0,386557,property,1.0,0,Manufacturing,Equipment Purchase,micro_entrepreneur,1.0,1
22316,12757,35159,3256,43,257409,25,3,569193,24681,498948,equipment,0.5,1,Services,Working Capital,micro_entrepreneur,1.0,1
7403,5832,8406,709,9,14188,9,2,12838,0,2621,other,0.2,0,Construction,Working Capital,daily_laborer,1.0,1
8313,3030,135973,6539,40,137915,26,4,359093,8150,135720,property,1.0,1,Services,Vehicle Purchase,civil_servant,1.0,1
5744,5065,12108,312,4,68634,6,3,54373,0,0,none,0.0,0,Services,Medical Emergency,daily_laborer,1.0,1
24373,11347,53827,6822,8,150091,10,2,214412,14217,167040,savings,0.7,1,Retail Trade,Equipment Purchase,small_trader,1.0,1
10556,6258,101266,6793,46,152766,4,1,220517,0,137146,savings,0.7,0,Wholesale,Working Capital,small_trader,1.0,1
5624,4019,25262,328,1,91274,8,2,98551,633,0,none,0.0,1,Other,Medical Emergency,daily_laborer,1.0,1
15011,7004,80207,2561,22,160694,15,3,533741,8602,283850,property,1.0,1,Technology,Working Capital,micro_entrepreneur,1.0,1
7646,5315,6369,328,14,5572,4,5,4165,1865,1256,other,0.2,1,Services,Working Capital,daily_laborer,0.5488,0
7400,5082,20366,3990,25,176371,12,2,273141,2325,122038,savings,0.7,1,Transport,Equipment Purchase,transport_worker,1.0,1
3429,1995,67878,1275,33,169324,14,4,183527,0,87747,other,0.2,0,Agriculture,Working Capital,farmer,1.0,1
19815,10085,24838,2829,9,103692,9,3,131864,7252,47634,vehicle,0.8,1,Transport,Equipment Purchase,transport_worker,1.0,1
26803,13144,76357,6751,31,352094,24,2,495646,16542,485252,property,1.0,1,Retail Trade,Working Capital,civil_servant,1.0,1
31580,12074,242294,7533,39,174685,21,1,379331,37084,390615,savings,0.7,1,Retail Trade,Construction Project,civil_servant,0.2458,0
5482,3700,54683,838,18,49284,9,5,79163,0,12584,equipment,0.5,0,Agriculture,Equipment Purchase,farmer,1.0,1
9667,4761,35029,2295,15,63320,23,2,106377,5391,61508,equipment,0.5,1,Agriculture,Agricultural Input,farmer,0.4625,1
26839,9426,57254,10623,44,71784,31,1,147937,32478,66200,vehicle,0.8,1,Retail Trade,Construction Project,civil_servant,0.2033,0
5741,3826,8165,4590,9,132694,10,7,187730,3115,40898,other,0.2,1,Agriculture,Agricultural Input,farmer,1.0,1
15973,8695,44906,1618,5,24232,11,1,19719,3542,9986,other,0.2,1,Construction,Working Capital,construction,0.555,1
16028,11688,42531,2318,20,114460,10,6,179579,0,0,none,0.0,0,Construction,Equipment Purchase,construction,1.0,1
8547,5959,30580,1247,21,116467,7,6,170034,4336,82721,other,0.2,1,Construction,Business Expansion,construction,1.0,1
16291,9091,41989,4806,13,149437,11,5,165949,0,57818,vehicle,0.8,0,Transport,Equipment Purchase,transport_worker,1.0,1
14276,6852,76704,3091,26,260675,15,5,403265,0,259160,equipment,0.5,0,Retail Trade,Business Expansion,small_trader,1.0,1
11875,5731,40288,5961,32,254288,26,1,515361,8484,276997,equipment,0.5,1,Services,Working Capital,micro_entrepreneur,1.0,1
24678,15483,129250,1178,10,179315,14,3,286040,20047,155882,other,0.2,1,Retail Trade,Working Capital,small_trader,1.0,1
44565,20117,135556,10317,17,501656,40,2,977958,60226,775329,vehicle,0.8,1,Other,Construction Project,professional,1.0,1
19730,7906,139404,7500,47,313862,30,3,761388,17761,208963,property,1.0,1,Services,Vehicle Purchase,civil_servant,1.0,1
9621,5849,29426,4758,11,193474,6,4,232176,5218,41966,equipment,0.5,1,Agriculture,Agricultural Input,farmer,1.0,1
33354,11718,238521,8064,29,48680,24,1,140455,48018,63190,savings,0.7,1,Services,Vehicle Purchase,civil_servant,0.1395,0
18436,12004,89638,2405,32,166735,26,2,191020,11406,198493,savings,0.7,1,Transport,Working Capital,transport_worker,0.6705,1
20907,10146,118140,9611,43,156467,14,1,386713,18698,78214,property,1.0,1,Manufacturing,Business Expansion,micro_entrepreneur,1.0,1
24988,13500,121003,5125,19,175822,19,3,337483,13258,160250,property,1.0,1,Manufacturing,Business Expansion,micro_entrepreneur,0.6175,1
13217,7960,86051,1543,21,95601,6,5,152371,8482,46175,equipment,0.5,1,Agriculture,Working Capital,farmer,1.0,1
8878,4565,89344,3310,26,129673,13,2,224403,7104,129272,savings,0.7,1,Transport,Vehicle Purchase,transport_worker,1.0,1
3136,1957,40723,4730,30,121661,10,3,147022,1184,0,none,0.0,1,Agriculture,Agricultural Input,farmer,1.0,1
33126,14888,92167,1967,31,141709,28,1,412136,0,148710,savings,0.7,0,Retail Trade,Vehicle Purchase,civil_servant,0.2882,0
11006,5626,73072,3110,12,171711,13,7,286324,0,21568,other,0.2,0,Agriculture,Agricultural Input,farmer,1.0,1
13379,7935,119963,2638,16,135823,10,5,213550,11444,0,none,0.0,1,Transport,Working Capital,transport_worker,1.0,1
8103,4963,22123,1636,3,191447,9,5,164052,0,127693,other,0.2,0,Construction,Equipment Purchase,construction,1.0,1
48479,19257,192986,6075,15,83664,17,0,278735,45175,68243,savings,0.7,1,Other,Business Expansion,professional,0.1562,0
12361,8397,38552,3532,13,41686,12,3,72085,4962,27700,other,0.2,1,Construction,Equipment Purchase,construction,0.64,1
18809,9740,195660,1448,15,235440,10,3,600154,0,183688,vehicle,0.8,0,Manufacturing,Business Expansion,micro_entrepreneur,1.0,1
33673,12802,146730,11407,32,266254,17,1,791083,46943,530291,vehicle,0.8,1,Other,Education,civil_servant,0.4795,0
14795,7671,24252,2378,7,195913,16,5,310905,3243,22572,equipment,0.5,1,Agriculture,Agricultural Input,farmer,1.0,1
10372,3918,30731,2725,34,254257,29,0,694454,9423,498784,property,1.0,1,Services,Vehicle Purchase,civil_servant,1.0,1
37683,16786,265659,9322,29,694308,28,0,2663721,24497,1714214,property,1.0,1,Other,Business Expansion,professional,1.0,1
21669,10332,49151,4171,29,204822,7,0,347842,0,296160,property,1.0,0,Other,Education,civil_servant,1.0,1
13813,6940,30356,1419,21,112887,8,2,152347,4463,65600,other,0.2,1,Construction,Business Expansion,construction,1.0,1
13639,9064,50247,1830,10,119448,3,6,192054,6593,0,none,0.0,1,Construction,Equipment Purchase,construction,1.0,1
15236,9370,11460,1607,12,36687,14,1,56981,7631,25784,savings,0.7,1,Transport,Working Capital,transport_worker,1.0,1
8678,4813,79718,3075,31,98747,12,5,188718,7285,85140,vehicle,0.8,1,Transport,Working Capital,transport_worker,1.0,1
26947,15347,110271,2176,16,238274,17,5,807725,0,435093,equipment,0.5,0,Manufacturing,Business Expansion,micro_entrepreneur,1.0,1
27568,11634,233120,12709,14,154054,26,2,249577,33786,187712,vehicle,0.8,1,Other,Business Expansion,professional,0.3262,0
7855,5811,10848,303,15,87729,3,2,124429,2736,0,none,0.0,1,Services,Medical Emergency,daily_laborer,1.0,1
3693,3019,7316,1047,2,18984,7,8,25810,0,0,none,0.0,0,Services,Other,daily_laborer,1.0,1
18466,8799,220041,1545,20,293827,25,4,755096,0,701648,vehicle,0.8,0,Services,Working Capital,civil_servant,1.0,1
4279,2924,13524,940,1,38113,8,8,34627,1342,0,none,0.0,1,Services,Working Capital,daily_laborer,1.0,1
29011,8820,395724,11822,51,581279,41,1,1140918,0,1498168,savings,0.7,0,Technology,Construction Project,professional,0.56,0
9933,6088,16294,3149,32,63279,13,2,100374,0,34673,vehicle,0.8,0,Transport,Vehicle Purchase,transport_worker,1.0,1
15545,9169,35067,507,21,155850,29,2,217275,5431,0,none,0.0,1,Transport,Working Capital,transport_worker,1.0,1
10641,6100,118942,3380,13,186420,18,4,613167,0,260520,equipment,0.5,0,Manufacturing,Business Expansion,micro_entrepreneur,1.0,1
21411,10664,72657,6056,21,37892,4,1,87322,20160,26594,savings,0.7,1,Retail Trade,Business Expansion,small_trader,0.5157,0
15794,8335,64599,977,19,128220,5,3,185931,0,99940,equipment,0.5,0,Construction,Business Expansion,construction,1.0,1
44124,14656,468638,15195,35,376020,32,0,1494760,27872,662386,property,1.0,1,Technology,Vehicle Purchase,professional,0.2412,1
5240,2820,113692,4292,9,292289,13,4,396026,3595,247914,equipment,0.5,1,Wholesale,Equipment Purchase,small_trader,1.0,1
13865,6970,54132,903,16,29184,26,2,38765,0,12229,savings,0.7,0,Transport,Working Capital,transport_worker,0.3305,0
9168,6026,47159,2983,21,17258,17,6,17068,5098,14887,equipment,0.5,1,Agriculture,Equipment Purchase,farmer,0.4838,0
15376,10144,36796,3899,18,199961,13,4,376369,5329,221406,vehicle,0.8,1,Transport,Working Capital,transport_worker,1.0,1
45188,20169,415314,20231,44,379746,47,2,762120,55319,665358,property,1.0,1,Technology,Education,professional,0.2412,0
6527,3289,20070,1769,9,13542,20,2,23443,0,9529,other,0.2,0,Agriculture,Working Capital,farmer,0.2925,1
15518,6259,94762,17499,39,57820,19,3,126592,13668,167946,property,1.0,1,Technology,Vehicle Purchase,professional,0.2412,0
7910,4635,56629,2636,10,104254,9,2,200081,0,32950,livestock,0.4,0,Agriculture,Equipment Purchase,farmer,1.0,1
9538,4136,153776,9112,39,276868,29,4,488665,12781,562130,property,1.0,1,Retail Trade,Construction Project,civil_servant,1.0,1
6160,4318,2696,864,12,99833,6,8,88045,0,0,none,0.0,0,Other,Other,daily_laborer,1.0,1
2309,1569,6601,1272,2,33376,3,6,37391,0,0,none,0.0,0,Construction,Working Capital,daily_laborer,1.0,1
9981,4715,121728,6917,15,151983,34,1,421052,8017,275716,property,1.0,1,Retail Trade,Equipment Purchase,micro_entrepreneur,0.5538,0
17416,11906,95108,5871,10,52383,18,5,54469,0,0,none,0.0,0,Transport,Equipment Purchase,transport_worker,1.0,1
5318,2946,144516,7300,35,47059,8,2,100928,0,63055,savings,0.7,0,Wholesale,Business Expansion,small_trader,1.0,1
7387,5538,19938,359,15,22118,6,3,29582,0,1868,other,0.2,0,Services,Other,daily_laborer,1.0,1
22051,9000,94492,10006,37,759973,26,0,1877440,17794,720707,property,1.0,1,Other,Education,professional,1.0,1
12232,5276,45505,5423,17,158465,5,4,233595,12569,190131,equipment,0.5,1,Food & Beverage,Business Expansion,small_trader,1.0,1
20470,10926,85301,8769,34,259391,10,5,432531,10547,268709,vehicle,0.8,1,Manufacturing,Equipment Purchase,micro_entrepreneur,1.0,1
13218,7284,98202,3805,12,46196,3,6,62582,12721,41911,savings,0.7,1,Retail Trade,Equipment Purchase,small_trader,1.0,1
15449,8655,120086,3716,6,257985,10,3,260990,18350,142707,other,0.2,1,Food & Beverage,Working Capital,small_trader,1.0,1
24009,8893,278062,9795,13,271005,29,1,358826,14507,637169,property,1.0,1,Other,Working Capital,civil_servant,0.5432,1
4124,2710,29465,974,9,41452,7,4,35644,0,0,none,0.0,0,Services,Other,daily_laborer,1.0,1
44139,16831,288782,14160,46,357485,15,3,1148289,0,347494,property,1.0,0,Technology,Education,professional,1.0,1
20160,11894,53763,3756,14,293437,16,6,426973,0,141332,other,0.2,0,Food & Beverage,Working Capital,small_trader,1.0,1
13043,6283,64163,1853,21,36885,11,4,74361,13632,29413,vehicle,0.8,1,Technology,Working Capital,micro_entrepreneur,0.3412,1
14119,5944,48744,6950,15,326131,13,2,907995,14584,461057,property,1.0,1,Retail Trade,Vehicle Purchase,civil_servant,1.0,1
11690,7914,27390,4568,15,195518,11,7,168977,0,94708,other,0.2,0,Agriculture,Agricultural Input,farmer,1.0,1
6042,3218,30630,2703,19,107361,18,4,118265,2475,80618,equipment,0.5,1,Agriculture,Working Capital,farmer,1.0,1
27938,14687,139117,4933,44,328902,28,3,652558,17327,591414,savings,0.7,1,Services,Construction Project,civil_servant,0.5858,0
6207,4246,7792,1260,17,62268,13,6,98183,4036,36971,equipment,0.5,1,Construction,Equipment Purchase,construction,1.0,1
11389,7749,40470,4539,33,186825,10,4,344594,6379,143882,livestock,0.4,1,Agriculture,Agricultural Input,farmer,1.0,1
2124,1577,22628,341,11,32438,10,7,41371,0,2835,other,0.2,0,Other,Other,daily_laborer,1.0,1
21489,9382,126610,4690,41,140764,10,6,193797,0,129068,savings,0.7,0,Retail Trade,Working Capital,small_trader,1.0,1
9400,5438,29393,463,18,30246,22,2,39863,2418,5452,livestock,0.4,1,Agriculture,Working Capital,farmer,0.5262,1
23048,11427,40286,3986,8,249736,20,4,382009,0,140303,savings,0.7,0,Food & Beverage,Working Capital,small_trader,1.0,1
19266,10882,97458,2834,21,48824,18,4,100731,11405,28111,savings,0.7,1,Wholesale,Equipment Purchase,small_trader,0.3458,0
11605,7283,107205,2828,28,243519,14,3,464043,3713,105937,savings,0.7,1,Transport,Equipment Purchase,transport_worker,1.0,1
11245,6677,55800,3332,22,127086,22,4,183049,8416,106511,vehicle,0.8,1,Transport,Vehicle Purchase,transport_worker,1.0,1
14524,9259,60778,5319,18,85528,27,5,99558,5272,85374,vehicle,0.8,1,Transport,Equipment Purchase,transport_worker,0.6918,1
6705,4133,79886,2935,17,140962,23,2,162786,4959,131634,savings,0.7,1,Retail Trade,Equipment Purchase,small_trader,1.0,1
13518,8768,22950,6418,34,234899,9,3,515547,6805,218051,savings,0.7,1,Food & Beverage,Working Capital,small_trader,1.0,1
2813,2098,4360,380,1,46631,10,6,51589,668,0,none,0.0,1,Other,Working Capital,daily_laborer,1.0,1
8478,3881,95667,6608,41,246859,12,2,815316,7196,198084,equipment,0.5,1,Technology,Working Capital,micro_entrepreneur,1.0,1
31256,16231,278110,4148,48,200399,31,3,520557,21173,402075,savings,0.7,1,Services,Vehicle Purchase,civil_servant,0.2458,0
24068,9989,51671,2946,19,66000,19,1,128855,8748,80062,other,0.2,1,Retail Trade,Business Expansion,small_trader,0.2395,0
12834,5655,112811,2303,8,174662,15,6,325827,13125,163477,savings,0.7,1,Food & Beverage,Equipment Purchase,small_trader,1.0,1
5474,2805,36963,3069,19,151577,9,2,262511,0,63378,other,0.2,0,Agriculture,Equipment Purchase,farmer,1.0,1
6883,4540,14839,4237,10,25756,17,4,48665,2562,12611,other,0.2,1,Agriculture,Working Capital,farmer,0.6537,0
12917,6189,195178,4254,32,223243,22,5,621457,15192,283692,property,1.0,1,Retail Trade,Business Expansion,micro_entrepreneur,1.0,1
21036,10699,131734,2100,45,81256,9,5,129248,14727,52819,other,0.2,1,Retail Trade,Working Capital,small_trader,0.537,1
32805,13858,225943,10891,33,194078,24,2,514667,49080,267497,property,1.0,1,Services,Working Capital,civil_servant,0.3095,0
19314,11532,60213,4100,7,78306,28,4,79358,15026,35469,savings,0.7,1,Transport,Equipment Purchase,transport_worker,0.5005,1
17661,11293,47429,1400,15,96333,7,1,94211,8318,0,none,0.0,1,Construction,Business Expansion,construction,1.0,1
3631,1687,34005,4513,25,156324,8,7,126587,2068,0,none,0.0,1,Agriculture,Agricultural Input,farmer,1.0,1
34055,13628,212527,8919,41,145775,14,2,402189,0,203818,savings,0.7,0,Services,Construction Project,civil_servant,0.3945,1
3926,3515,3675,463,2,30994,3,5,29083,667,3299,other,0.2,1,Services,Other,daily_laborer,1.0,1
31273,13823,232306,4551,49,71416,16,4,187765,26262,59233,property,1.0,1,Other,Education,civil_servant,0.1395,0
